test_id,ref_id,test_name,ref_name,similarity
24752,24752,goldenstarco,goldenstarco,1.0
21957,21957,alshaykhdiyab,alshaykhdiyab,1.0
17237,17237,jahantechrooyanpars,jahantechrooyanpars,1.0
9391,9391,sotogilyolandaesthela,sotogilyolandaesthela,1.0
41497,41497,klaretaviationlimited,klaretaviationlimited,1.0
15843,15843,villasanchezarnoldo,villasanchezarnoldo,1.0
10762,10762,belarusianoiltradehouse,belarusianoiltradehouse,1.0
22609,22609,lihongri,lihongri,1.0
52086,52086,soodrahul,soodrahul,1.0
36869,36869,safinlenarrinatovich,safinlenarrinatovich,1.0
39200,39200,titskiyantonrobertovich,titskiyantonrobertovich,1.0
26126,26126,yaghoubimiabhossein,yaghoubimiabhossein,1.0
26899,26899,lanatv,lanatv,1.0
44849,44849,npkfotonikalimitedliabilitycompany,npkfotonikalimitedliabilitycompany,1.0
35391,35391,shargunovsergeyaleksandrovich,shargunovsergeyaleksandrovich,1.0
37304,37304,vodolatskyvictorpetrovich,vodolatskyvictorpetrovich,1.0
37684,37684,jointstockcompanyresearchanddevelopmententerprisealmaz,jointstockcompanyresearchanddevelopmententerprisealmaz,1.0
9542,9542,scorecommercialcompanyltd,scorecommercialcompanyltd,1.0
45315,45315,valerianlabsdistributioncorp,valerianlabsdistributioncorp,1.0
47353,47353,kyawwinpaing,kyawwinpaing,1.0
11008,11008,grupoindustrialgaxiolahermanossadecv,grupoindustrialgaxiolahermanossadecv,1.0
16462,16462,urdinolaalvarezhectormario,urdinolaalvarezhectormario,1.0
27585,27585,guptaajay,guptaajay,1.0
44845,44845,intechengineeringltd,intechengineeringltd,1.0
22096,22096,alfakhurihusamadbdalbarr,alfakhurihusamadbdalbarr,1.0
42209,42209,waldauinvestmentslimited,waldauinvestmentslimited,1.0
38759,38759,zaonttsmodul,zaonttsmodul,1.0
48015,48015,limitedliabilitycompanyshipbuildingcomplexzvezda,limitedliabilitycompanyshipbuildingcomplexzvezda,1.0
18822,18822,agricolatavosprderl,agricolatavosprderl,1.0
47679,47679,pogiblovgeorgiisemenovich,pogiblovgeorgiisemenovich,1.0
33023,33023,sysoyevvasiliyvasilievich,sysoyevvasiliyvasilievich,1.0
40967,40967,multiwelltradingcolimited,multiwelltradingcolimited,1.0
22005,22005,sharbamuzhir,sharbamuzhir,1.0
11223,11223,suluchi,suluchi,1.0
32712,32712,bunakovandreinikolayevich,bunakovandreinikolayevich,1.0
