test_id,ref_id,test_name,ref_name,similarity
24394,24394,preminvestmentgroupsaloffshore,premierinvestmentgroupsaloffshore,0.84375
29794,29794,iranianoilpipelandtelecommunicationco,iranianoilpipelinesandtelecommunicationco,0.8048780487804879
12929,12929,arbabmanssor,arbabsiarmanssor,0.5
48658,48658,alpmjointstockcompanyresearchandproductioncomplex,alphamjointstockcompanyresearchandproductioncomplex,0.8775510204081632
7252,7252,benattnabilbenmohamedbenali,benattianabilbenmohamedbenali,0.7692307692307693
17228,17228,asiaviationlogisticscompanylimited,asianaviationlogisticscompanylimited,0.8857142857142857
28063,28063,tratelas,tranztelas,0.4
46511,46511,aspdwcllc,aspectdwcllc,0.4166666666666667
49798,49798,herreramedinabranernesto,herreramedinabrandonernesto,0.8076923076923077
49420,49420,limitedliabilitycompanyelmining,limitedliabilitycompanyelgamining,0.8181818181818182
45757,45757,anisorusllc,anisoprintrusllc,0.4375
45429,45429,reihjaber,reihanijaber,0.4166666666666667
19274,19274,charaliyoussef,chararaaliyoussef,0.7333333333333333
17006,17006,romerorodriguezale,romerorodriguezalexis,0.8421052631578947
33873,33873,radisavljevicmil,radisavljevicmiljan,0.8235294117647058
47509,47509,limitedliabilitycompanygroupofcompaniesspetsmeta,limitedliabilitycompanygroupofcompaniesspetsmetallmaster,0.84
29387,29387,rahipezhman,rahimianpezhman,0.4666666666666667
35890,35890,jointstockcompanyredupm,jointstockcompanyreductorpm,0.7037037037037037
47551,47551,moloigoryevgenyevich,molotovigoryevgenyevich,0.6818181818181818
46589,46589,streloiekomm,streloiekommerts,0.7142857142857143
28918,28918,ashtfardhossein,ashtarifardhossein,0.6111111111111112
12297,12297,audioalarsadecv,audioalarmassadecv,0.6111111111111112
7787,7787,sesvojislav,seseljvojislav,0.5
34771,34771,vetsiaaliaksandrpiatrovich,vetsianevichaliaksandrpiatrovich,0.7333333333333333
44976,44976,llcchelyabinsktractorplantural,llcchelyabinsktractorplanturaltrak,0.9032258064516129
28917,28917,avicastillojuliocesar,avilescastillojuliocesar,0.7083333333333334
29404,29404,saabinmohamadnawzadmohamadammar,saatibinmohamadnawzadmohamadammar,0.7857142857142857
30966,30966,kaandrew,kanandrew,0.4444444444444444
48782,48782,chspaceelectronicscolimited,chipspaceelectronicscolimited,0.7931034482758621
46516,46516,jointstockcompanystrommshield,jointstockcompanystrommashinashield,0.7575757575757576
45808,45808,hocreditfinancebanklimitedliabilitycompany,homecreditfinancebanklimitedliabilitycompany,0.8636363636363636
36027,36027,kashanalireza,kashanialireza,0.6428571428571429
22158,22158,mukhasalma,mukhaybirsalma,0.42857142857142855
28564,28564,ncubeow,ncubeowen,0.7142857142857143
44686,44686,soltmansurmussaevich,soltaevmansurmussaevich,0.7272727272727273
49481,49481,limitedliabilitycompanyartelstarateleisini1,limitedliabilitycompanyartelstarateleisininda1,0.8863636363636364
6823,6823,patinofomevictorjulio,patinofomequevictorjulio,0.782608695652174
29405,29405,ismailsam,ismailsamer,0.7777777777777778
16651,16651,mangokmarchanuongyol,mangokmarialchanuongyol,0.6956521739130435
13406,13406,esparragozagastelumbreguadalupe,esparragozagastelumbrendaguadalupe,0.7941176470588235
22266,22266,farasamorteza,farasatpurmorteza,0.5294117647058824
19150,19150,naranjoabasa,naranjoabajosa,0.5714285714285714
28223,28223,mukiibimos,mukiibimoses,0.8
30745,30745,alakhrassahotri,alakhrassaharotri,0.6470588235294118
26822,26822,bandarimamfaravpetrochemicalcompany,bandarimamfaravareshpetrochemicalcompany,0.775
42071,42071,federalscientificandproductioncentermvprotsstartproductionassociationjsc,federalscientificandproductioncentermvprotsenkostartproductionassociationjsc,0.875
49503,49503,beeinsaatmimaanonimsirketi,beeinsaatmimarlikanonimsirketi,0.7333333333333333
52653,52653,jointstockcompanynizhnynovgorodresearchandproductionassociationnamedaftermvfru,jointstockcompanynizhnynovgorodresearchandproductionassociationnamedaftermvfrunze,0.96
24686,24686,tsuchikara,tsudachikara,0.5
41491,41491,seltechnicco,selintechnicco,0.5714285714285714
47580,47580,kosvladislavvyacheslavovich,kostinvladislavvyacheslavovich,0.75
32292,32292,ooaungnai,ooaungnaing,0.7777777777777778
25100,25100,sardiazedgaralberto,sarriadiazedgaralberto,0.6818181818181818
46857,46857,davexchangeandremittancescompanykhaledalathariandpartnergeneralpartnership,davosexchangeandremittancescompanykhaledalathariandpartnergeneralpartnership,0.9130434782608695
45651,45651,bigordonkoang,bielgordonkoang,0.6
43060,43060,dhemumin,dheremumin,0.5555555555555556
12469,12469,yambeninsarl,yamenbeninsarl,0.5714285714285714
21548,21548,ningbonewcentimportandexportcompanyltd,ningbonewcenturyimportandexportcompanyltd,0.8205128205128205
15186,15186,jmtro,jmtroya,0.6
24585,24585,khoramabadiabdol,khoramabadiabdolsamad,0.7777777777777778
26423,26423,nortorresjoseleonardo,noronotorresjoseleonardo,0.7083333333333334
35296,35296,vaiantoneduardovich,vainoantoneduardovich,0.7142857142857143
10005,10005,canoagudsenc,canoagudelosenc,0.5333333333333333
22924,22924,thulbrandonlee,thulsiebrandonlee,0.5882352941176471
9591,9591,izzatdieabdulkadir,izzatdiemanabdulkadir,0.6666666666666666
9898,9898,nauuladzimiruladzimiravich,naumauuladzimiruladzimiravich,0.85
23883,23883,martinolivpedroluis,martinolivarespedroluis,0.6521739130434783
23252,23252,gertlerda,gertlerdan,0.875
51991,51991,federalstateunitaryenterpriseallrussianresearchinstituteofoilgeol,federalstateunitaryenterpriseallrussianresearchinstituteofoilgeology,0.9538461538461539
17872,17872,ruizdebrionesmagda,ruizdebrionesmagdalena,0.8
10975,10975,safequipmentprocurementcompany,safetyequipmentprocurementcompany,0.8333333333333334
10489,10489,orieoilkish,orientaloilkish,0.4666666666666667
40927,40927,subramaniamsha,subramaniamsharda,0.8
7659,7659,bjelmilovan,bjelicamilovan,0.5
15711,15711,issaempresauniper,issaempresaunipersonal,0.75
46750,46750,jointstockcompanychukmininggeologicalcompany,jointstockcompanychukotkamininggeologicalcompany,0.813953488372093
47270,47270,satradeinvestmentsro,sabatradeinvestmentsro,0.8095238095238095
42868,42868,osteecltd,ostececltd,0.5
4694,4694,gaaalislamiyya,gamaaalislamiyya,0.7333333333333333
20948,20948,bilalmuhammadna,bilalmuhammadnafi,0.8666666666666667
46491,46491,caromonjesusjosegil,caromongejesusjosegil,0.7142857142857143
27884,27884,optfreightoy,optimafreightoy,0.5333333333333333
48754,48754,butnatallia,butrymnatallia,0.5
40807,40807,bugaydmitryvitalyevich,bugayenkodmitryvitalyevich,0.6923076923076923
26190,26190,malyartemandreyevich,malyshevartemandreyevich,0.6666666666666666
11311,11311,amohamedahmedabdi,awmohamedahmedabdi,0.8
25151,25151,sandovallopezlialejandra,sandovallopezlidyalejandra,0.76
35918,35918,thelimitedliabilitycompanynetwocompanyirkut,thelimitedliabilitycompanynetworkingcompanyirkut,0.7906976744186046
9999,9999,rendonramirezjosealde,rendonramirezjosealdemar,0.8636363636363636
52191,52191,reautoshanghaiindustryltd,regautoshanghaiindustryltd,0.8076923076923077
17426,17426,plotnigorvenediktovich,plotnitskyigorvenediktovich,0.7307692307692307
22484,22484,majemujahidinindonesia,majelismujahidinindonesia,0.72
34702,34702,alfalizooo,alfalizingooo,0.46153846153846156
35592,35592,germaolgamikhaylovna,germanovaolgamikhaylovna,0.7391304347826086
47149,47149,guzfaruk,guzelfaruk,0.4
36008,36008,basnakliyatvedisticaretltdsti,baslamnakliyatvedisticaretltdsti,0.7741935483870968
26699,26699,alihaladan,alihalimaadan,0.5
20159,20159,alqaidaintheindiansubcon,alqaidaintheindiansubcontinent,0.7857142857142857
15854,15854,tmcthefoodmanagementcorporationltd,tfmcthefoodmanagementcorporationltd,0.9117647058823529
46432,46432,obshchestvosogranichennoiotvetstvennostyuga,obshchestvosogranichennoiotvetstvennostyugas,0.972972972972973
49927,49927,hongkongchlineinternationalco,hongkongchiplineinternationalco,0.8
38039,38039,villaleestatessas,villalexaestatessas,0.6842105263157895
19950,19950,tariqgidgroup,tariqgidargroup,0.6
