test_id,ref_id,test_name,ref_name,similarity
32794,32794,hittasidan,hittasidanag,0.8
46922,46922,navahobbiesbhd,navahobbiessdnbhd,0.5882352941176471
36046,36046,jointstockcompanythestpetersburgsbureauofmechanicalengineeringmalachite,jointstockcompanythestpetersburgsseabureauofmechanicalengineeringmalachite,0.9166666666666666
40769,40769,kovalevvitaly,kovalevvitaliy,0.7692307692307693
43074,43074,stateunitaryenterprisesvlebedevinstituteofsyntheticrubber,federalstateunitaryenterprisesvlebedevinstituteofsyntheticrubber,0.9016393442622951
16030,16030,persiaoilgasindustryco,persiaoilgasindustrydevelopmentco,0.5454545454545454
50137,28126,mostlimited,finrostlimited,0.6153846153846154
52650,52650,researchinstituteofcommanddevices,scientificresearchinstituteofcommanddevices,0.7560975609756098
22042,22042,shahtzaydan,shahtjamalzaydan,0.4375
49609,49609,ghanimatalrahmanismailabdalrahman,ghanimatabdalrahmanismailabdalrahman,0.92
28287,28287,chadormaluminingcompany,chadormaluminingindustrialcompany,0.5757575757575758
49472,49472,limitedliabilitycompanybankovskieinnovatsionnye,limitedliabilitycompanybankovskieinnovatsionnyesistemy,0.8653846153846154
23612,23612,solanochavesrodolfo,solanochavesjuliorodolfo,0.625
48732,48732,vahabzadehmoghadammohsen,vahabzadehmoghadamseyedmohsen,0.6896551724137931
40924,40924,saintpetersburgpublicjointstockcompany,banksaintpetersburgpublicjointstockcompany,0.8974358974358975
26785,26785,lospochosdrugorganization,lospochosdrugtraffickingorganization,0.6285714285714286
21048,21048,zaronbiotechlimited,zaronbiotechasialimited,0.6521739130434783
37662,37662,jointstockcompanycorporationmoscowinstituteofheat,jointstockcompanycorporationmoscowinstituteofheattechnology,0.8245614035087719
23152,23152,daebongshippingco,koreadaebongshippingco,0.75
20980,20980,alahdalabdallahfaysal,alahdalabdallahfaysal,1.0
29862,29862,alalialhamzallc,alaliandalhamzallc,0.7058823529411765
47179,47179,alazzawiriyadhali,alazzawiriyadhalihussein,0.6818181818181818
15270,15270,alsubhiazzamzureikalmaulid,alsubhiazzamabdullahzureikalmaulid,0.6470588235294118
50016,50016,federalstategovernmentalinstitution4centralresearchinstituteoftheministryofdefenseoftherussian,federalstategovernmentalinstitution4centralresearchinstituteoftheministryofdefenseoftherussianfederation,0.9523809523809523
44082,44082,amprokhorovgeneralphysicsinstituterussianacademyof,amprokhorovgeneralphysicsinstituterussianacademyofsciences,0.8571428571428571
40757,40757,amirkabircompany,amirkabirpetrochemicalcompany,0.41379310344827586
11903,11903,agropecuariahatosantaltda,agropecuariahatosantamarialtda,0.8148148148148148
8236,8235,arellanofelix,arellanofelixjavier,0.6470588235294118
37686,37686,stateresearchinstituteofaviationsystemsstateresearchcenterofthefederation,stateresearchinstituteofaviationsystemsstateresearchcenteroftherussianfederation,0.8307692307692308
48006,48006,limitedliabilitycompanytmksteelholding,internationallimitedliabilitycompanytmksteelholding,0.7346938775510204
7473,7473,theriyadussalikhinreconnaissanceandsabotagebattalionofmartyrs,theriyadussalikhinreconnaissanceandsabotagebattalionofchechenmartyrs,0.8461538461538461
15687,15687,elizondocastanedaandres,elizondocastanedaandresmartin,0.7777777777777778
50891,50891,instituteforinformationtransmissionproblemsoftherussianacademyof,instituteforinformationtransmissionproblemsoftherussianacademyofsciences,0.8805970149253731
35393,35393,sinelshchikovpetrovich,sinelshchikovyurypetrovich,0.6923076923076923
26930,26930,juichengcompanylimited,juichengshippingcompanylimited,0.7142857142857143
11439,11439,familiamichoacana,lafamiliamichoacana,0.875
19829,19829,ammarsalmisalamasalim,ammarsalmisalamasalimsulayman,0.68
50667,50667,abdi,abdiali,0.4
15148,15148,centerforinnovationandcooperation,centerforinnovationandtechnologycooperation,0.65
27150,27150,mohamedahmedelsayedahmed,ibrahimmohamedahmedelsayedahmed,0.6956521739130435
51911,51911,pratumtradingllc,pratumoiltradingllc,0.631578947368421
44878,44878,jointstockcompanyautomotivefactorymoskvich,jointstockcompanymoscowautomotivefactorymoskvich,0.8260869565217391
35467,35467,aksenenkoalexander,aksenenkoalexandersergeyevich,0.5925925925925926
35607,35607,dzyubaviktorovich,dzyubaviktorviktorovich,0.8823529411764706
49721,49721,humansmugglingorganization,lopezhumansmugglingorganization,0.8275862068965517
30523,30523,freshairfarm,freshairfarmhouse,0.6666666666666666
35702,35702,pirogyuryevich,pirogdmitryyuryevich,0.5
27592,27592,alcardinaltradingllc,alcardinalgeneraltradingllc,0.7083333333333334
50521,50521,oceanspeedstaropcprivatelimited,oceanspeedstarsolutionsopcprivatelimited,0.675
50707,50707,solucionestecnologicasypaqueteriatressociedadanonimadecapital,solucionestecnologicasypaqueteriatressociedadanonimadecapitalvariable,0.8939393939393939
51051,51051,ritashipping,ritashippinginc,0.7692307692307693
49404,49404,nitgroup,nitgroupfze,0.6666666666666666
39784,40495,volfovich,volfovichariel,0.5833333333333334
27788,27788,aasisheikh,aasisheikhyusuf,0.6153846153846154
32271,32271,shakuta,shakutadzmitry,0.4166666666666667
40869,40869,jointstockcompanyresearchinstituteofgraphitematerialsniigrafit,jointstockcompanyresearchinstituteofgraphitebasedmaterialsniigrafit,0.8636363636363636
49672,49672,najibimohammadmosannai,najibiseyyedmohammadmosannai,0.6666666666666666
22610,22610,pisklinmikhailyurevicmikhailyurevich,pisklinmikhailyurevich,0.9090909090909091
50051,50051,aktsionernoeobshchestvoevrazkachkanarskiobogatitelnykombinat,aktsionernoeobshchestvoevrazkachkanarskigornoobogatitelnykombinat,0.875
44316,23243,lepinvladimir,turinvladimir,0.5714285714285714
18600,18600,alshairihusaynalinsalih,alshairihusaynalsalihinsalih,0.8260869565217391
51116,51116,jointstockcompany51designtechnologicalinstituteshiprepair,jointstockcompany51centraldesigntechnologicalinstituteshiprepair,0.828125
22863,22863,almansursalimmustafa,almansursalimmustafamuhammad,0.6923076923076923
25067,7919,sina,sinabul,0.4
47754,47754,centralresearchradioengineeringinstitutenamedacademicianaiberg,centralresearchradioengineeringinstitutenamedafteracademicianaiberg,0.890625
47817,47817,jointstockcompanysamarametallurgical,jointstockcompanysamarametallurgicalplant,0.8717948717948718
49504,50131,ankaradisticaretlimitedsirketi,fevadisticaretlimitedsirketi,0.7419354838709677
30373,30373,kavehparsminingindustriescompany,kavehparsminingindustriesdevelopmentcompany,0.6511627906976745
23209,23209,alfaisalabdullah,faisalabdullah,0.8571428571428571
49493,49493,wrightaerocomponents,wrightaerocomponentsfze,0.8571428571428571
48292,48292,mazixonverwaltungs,mazixonverwaltungsgmbh,0.8
38339,38339,farwellcanyonlimited,farwellcanyonhklimited,0.7272727272727273
44240,44240,ozeanhorizontprojektentwicklungscokg,ozeanhorizontprojektentwicklungsgmbhcokg,0.8
